frequency,raw
20.00,81.591
20.29,81.614
20.59,81.635
20.89,81.658
21.19,81.685
21.50,81.714
21.81,81.743
22.13,81.768
22.45,81.790
22.78,81.807
23.11,81.824
23.44,81.842
23.78,81.862
24.13,81.883
24.48,81.904
24.84,81.923
25.20,81.939
25.56,81.953
25.94,81.963
26.31,81.971
26.70,81.976
27.09,81.977
27.48,81.977
27.88,81.976
28.28,81.973
28.70,81.967
29.11,81.954
29.54,81.933
29.97,81.904
30.40,81.871
30.84,81.839
31.29,81.810
31.75,81.781
32.21,81.749
32.68,81.712
33.15,81.671
33.64,81.628
34.13,81.585
34.62,81.539
35.13,81.488
35.64,81.432
36.15,81.374
36.68,81.316
37.21,81.259
37.75,81.204
38.30,81.149
38.86,81.091
39.43,81.028
40.00,80.952
40.58,80.863
41.17,80.765
41.77,80.661
42.38,80.554
42.99,80.447
43.62,80.339
44.25,80.231
44.90,80.121
45.55,80.009
46.21,79.897
46.89,79.787
47.57,79.676
48.26,79.562
48.96,79.455
49.67,79.359
50.40,79.270
51.13,79.173
51.87,79.068
52.63,78.963
53.39,78.858
54.17,78.749
54.96,78.639
55.76,78.534
56.57,78.436
57.39,78.343
58.23,78.255
59.07,78.173
59.93,78.101
60.80,78.035
61.69,77.977
62.59,77.925
63.50,77.877
64.42,77.831
65.36,77.785
66.31,77.741
67.27,77.700
68.25,77.661
69.24,77.623
70.25,77.582
71.27,77.539
72.31,77.494
73.36,77.448
74.43,77.401
75.51,77.353
76.61,77.303
77.72,77.250
78.85,77.194
80.00,77.138
81.16,77.081
82.34,77.021
83.54,76.958
84.76,76.892
85.99,76.823
87.24,76.751
88.51,76.677
89.80,76.600
91.10,76.522
92.43,76.441
93.77,76.359
95.14,76.274
96.52,76.189
97.92,76.101
99.35,76.009
100.79,75.915
102.26,75.816
103.75,75.714
105.26,75.607
106.79,75.496
108.34,75.380
109.92,75.260
111.52,75.135
113.14,75.008
114.78,74.879
116.45,74.747
118.15,74.612
119.86,74.474
121.61,74.333
123.38,74.189
125.17,74.044
126.99,73.896
128.84,73.746
130.71,73.594
132.61,73.440
134.54,73.286
136.50,73.132
138.49,72.979
140.50,72.829
142.54,72.684
144.62,72.551
146.72,72.435
148.85,72.321
151.02,72.199
153.22,72.066
155.45,71.934
157.71,71.817
160.00,71.713
162.33,71.618
164.69,71.526
167.08,71.438
169.51,71.352
171.98,71.271
174.48,71.195
177.02,71.125
179.59,71.057
182.21,70.991
184.86,70.923
187.55,70.852
190.27,70.778
193.04,70.700
195.85,70.620
198.70,70.539
201.59,70.458
204.52,70.377
207.49,70.296
210.51,70.216
213.57,70.135
216.68,70.053
219.83,69.969
223.03,69.882
226.27,69.792
229.57,69.699
232.90,69.604
236.29,69.502
239.73,69.395
243.22,69.282
246.75,69.163
250.34,69.044
253.98,68.930
257.68,68.819
261.43,68.710
265.23,68.605
269.09,68.506
273.00,68.417
276.97,68.339
281.00,68.272
285.09,68.214
289.23,68.166
293.44,68.129
297.71,68.101
302.04,68.083
306.43,68.072
310.89,68.069
315.41,68.073
320.00,68.087
324.65,68.109
329.38,68.135
334.17,68.161
339.03,68.186
343.96,68.211
348.96,68.239
354.04,68.270
359.19,68.303
364.41,68.332
369.71,68.353
375.09,68.365
380.55,68.369
386.08,68.377
391.70,68.393
397.39,68.413
403.17,68.437
409.04,68.458
414.99,68.476
421.02,68.491
427.15,68.503
433.36,68.509
439.67,68.510
446.06,68.507
452.55,68.502
459.13,68.498
465.81,68.494
472.58,68.490
479.46,68.487
486.43,68.485
493.51,68.485
500.69,68.488
507.97,68.493
515.36,68.502
522.85,68.516
530.46,68.534
